"snl_id","primary_commodity"
"68157","Gold"
"77376","Gold"
"38979","Copper"
"56844","Gold"
"30135","Gold"
"38604","Silver"
"30262","Gold"
"30133","Gold"
"60366","Copper"
"39931","Gold"
"55182","Copper"
"70350","Gold"
"61992","Lead"
"33365","Diamonds"
"70003","Coal"
"70002","Coal"
"69979","Coal"
"38854","Coal"
"64548","Gold"
"25968","Gold"
"34327","Nickel"
"28232","Nickel"
"32100","Tantalum"
"32649","Tantalum"
"40352","Copper"
"34826","U3O8"
"57032","Manganese"
"58398","Gold"
"36494","Gold"
"65952","Gold"
"61240","Gold"
"79282","Copper"
"34589","Nickel"
"38016","U3O8"
"57275","U3O8"
"59491","U3O8"
"52976","Copper"
"32903","Gold"
"39155","Coal"
"32715","Gold"
"33867","Gold"
"34807","Zinc"
"36736","Gold"
"60221","Coal"
"29302","Gold"
"39539","Gold"
"59021","Gold"
"28797","Gold"
"36177","Gold"
"65764","Graphite"
"84027","Zinc"
"37974","Potash"
"60497","U3O8"
"52899","Copper"
"28076","Gold"
"29116","Silver"
"58175","Copper"
"24475","Silver"
"54078","Gold"
"25690","Gold"
"32264","Gold"
"53122","Lead"
"55515","Iron Ore"
"57363","U3O8"
"70697","Zinc"
"75826","Copper"
"63880","Copper"
"31315","Gold"
"65649","Graphite"
"25244","Gold"
"67259","Gold"
"25153","Molybdenum"
"33237","Gold"
"28228","Copper"
"40704","Coal"
"39683","Coal"
"41048","Coal"
"35105","U3O8"
"77191","Gold"
"65834","Gold"
"25869","Gold"
"70204","Coal"
"37789","Lanthanides"
"28290","Copper"
"39787","Coal"
"39695","Gold"
"67661","Gold"
"32420","Diamonds"
"32362","Diamonds"
"32342","Diamonds"
"27193","Gold"
"27304","Zinc"
"31282","Gold"
"60112","Copper"
"37052","Iron Ore"
"31667","Copper"
"51274","Gold"
"28663","Copper"
"34958","U3O8"
"55488","Zinc"
"40332","Iron Ore"
"56607","Gold"
"70332","Gold"
"37155","Zinc"
