fid,country_name,country_isoa3,hcluster_id
26662,China,CHN,00000000000000007190
26663,China,CHN,00000000000000007190
26664,China,CHN,00000000000000007190
26665,China,CHN,00000000000000007190
26666,China,CHN,00000000000000007190
26667,China,CHN,00000000000000007190
26668,China,CHN,00000000000000007190
26669,China,CHN,00000000000000007190
26670,China,CHN,00000000000000007190
26671,China,CHN,00000000000000007190
26672,China,CHN,00000000000000007190
26673,China,CHN,00000000000000007190
26674,China,CHN,00000000000000007190
26675,China,CHN,00000000000000007190
26676,China,CHN,00000000000000007190
26677,China,CHN,00000000000000008285
26678,China,CHN,00000000000000008285
26679,China,CHN,00000000000000008285
26680,China,CHN,00000000000000008285
26681,China,CHN,00000000000000008285
26682,China,CHN,00000000000000008285
26683,China,CHN,00000000000000008285
26684,China,CHN,00000000000000008285
26685,China,CHN,00000000000000008359
26686,China,CHN,00000000000000008553
26687,Chile,CHL,00000000000000006816
26688,Chile,CHL,00000000000000006816
26689,Chile,CHL,00000000000000006816
26690,Chile,CHL,00000000000000006816
26691,Chile,CHL,00000000000000006816
26692,Chile,CHL,00000000000000006816
26693,Chile,CHL,00000000000000006816
26694,Chile,CHL,00000000000000006831
26695,Chile,CHL,00000000000000006831
26696,Chile,CHL,00000000000000006831
26697,Chile,CHL,00000000000000006847
26698,Chile,CHL,00000000000000006847
26699,Chile,CHL,00000000000000006857
26700,Chile,CHL,00000000000000006865
26701,Chile,CHL,00000000000000006865
26702,Canada,CAN,00000000000000004173
26703,Chile,CHL,00000000000000006878
26704,Chile,CHL,00000000000000006878
26705,Chile,CHL,00000000000000006816
26706,Chile,CHL,00000000000000006816
26707,Chile,CHL,00000000000000006816
26708,Chile,CHL,00000000000000006863
26709,Chile,CHL,00000000000000006863
26710,Chile,CHL,00000000000000006863
26711,Chile,CHL,00000000000000006863
26712,Chile,CHL,00000000000000006897
26713,Chile,CHL,00000000000000006897
26714,Chile,CHL,00000000000000007136
26715,Chile,CHL,00000000000000007136
26716,Chile,CHL,00000000000000006916
26717,Chile,CHL,00000000000000006916
26718,Chile,CHL,00000000000000006916
26719,Chile,CHL,00000000000000006916
26720,Chile,CHL,00000000000000006916
26721,Chile,CHL,00000000000000006924
26722,Chile,CHL,00000000000000006980
26723,Chile,CHL,00000000000000006980
26724,Chile,CHL,00000000000000006980
26725,Chile,CHL,00000000000000006877
26726,Chile,CHL,00000000000000006877
26727,Chile,CHL,00000000000000006877
26728,Chile,CHL,00000000000000006877
26729,Chile,CHL,00000000000000006877
26730,Chile,CHL,00000000000000006843
26731,Chile,CHL,00000000000000006843
26732,Chile,CHL,00000000000000006843
26733,Chile,CHL,00000000000000006843
26734,Chile,CHL,00000000000000006843
26735,Chile,CHL,00000000000000006843
26736,Chile,CHL,00000000000000006843
26737,Chile,CHL,00000000000000006843
26738,Chile,CHL,00000000000000006843
26739,Chile,CHL,00000000000000006843
26740,China,CHN,00000000000000007402
26741,China,CHN,00000000000000007402
26742,Chile,CHL,00000000000000006869
26743,Chile,CHL,00000000000000006869
26744,China,CHN,00000000000000007242
26745,Chile,CHL,00000000000000006899
26746,Chile,CHL,00000000000000006899
26747,Chile,CHL,00000000000000006899
26748,Chile,CHL,00000000000000006816
26749,Chile,CHL,00000000000000006859
26750,Chile,CHL,00000000000000006859
26751,Chile,CHL,00000000000000006859
26752,Chile,CHL,00000000000000006910
26753,Chile,CHL,00000000000000006817
26754,Chile,CHL,00000000000000006863
26755,Chile,CHL,00000000000000006863
26756,Chile,CHL,00000000000000006863
26757,Chile,CHL,00000000000000006838
26758,Chile,CHL,00000000000000006838
26759,Chile,CHL,00000000000000006838
26760,Chile,CHL,00000000000000006838
26761,Chile,CHL,00000000000000007137
26762,Chile,CHL,00000000000000006869
26763,Chile,CHL,00000000000000006869
26764,Chile,CHL,00000000000000006816
26765,Chile,CHL,00000000000000006816
26766,China,CHN,00000000000000007759
26767,Chile,CHL,00000000000000007062
26768,Chile,CHL,00000000000000007062
26769,Chile,CHL,00000000000000006890
26770,Chile,CHL,00000000000000006864
26771,Chile,CHL,00000000000000006825
26772,Chile,CHL,00000000000000006825
26773,Chile,CHL,00000000000000006825
26774,Chile,CHL,00000000000000006825
26775,Chile,CHL,00000000000000006825
26776,Chile,CHL,00000000000000006825
26777,Chile,CHL,00000000000000006825
26778,Chile,CHL,00000000000000006825
26779,Chile,CHL,00000000000000007037
26780,Chile,CHL,00000000000000007138
26781,Chile,CHL,00000000000000006848
26782,Chile,CHL,00000000000000006848
26783,Chile,CHL,00000000000000006848
26784,Chile,CHL,00000000000000006848
26785,China,CHN,00000000000000007342
26786,China,CHN,00000000000000007342
26787,China,CHN,00000000000000007342
